package,commit_sha,ubuntu_2404_version,ubuntu_2604_version,ubuntu_2404_apt_version_at_check,_apt_fetch_error,ubuntu_component,ubuntu_2404_patch_method,patch_marker_found,_marker_quality,_debian_query_attempted,debian_cve_statuses,cve_assigned,cve_ids,usn_published,usn_ids,ubuntu_2404_actually_patched,vuln_confirmed,severity,backport_feasibility,maintenance_gap_type,_review_flags,upstream_commit,upstream_2404_tag_url,ubuntu_changelog_changelogs_org,ubuntu_changelog_package_overview,first_cve_page,first_usn_page,upstream_issue_search,q1_upstream_commit,q2_upstream_source,q3_ubuntu_changelog
libpoppler-dev,5f68ea46394743566f04e5be58d828831b178f30,24.02.0-1ubuntu9,26.01.0-2build2,24.02.0-1ubuntu9.8,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Moderate,Trigger_Gap,[],https://gitlab.freedesktop.org/poppler/poppler/-/commit/5f68ea46394743566f04e5be58d828831b178f30,https://gitlab.freedesktop.org/poppler/poppler/-/tree/poppler-24.02.0,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog,https://launchpad.net/ubuntu/+source/poppler/+changelog,,,https://gitlab.freedesktop.org/poppler/poppler/-/issues/?search=Remove,https://gitlab.freedesktop.org/poppler/poppler/-/commit/5f68ea46394743566f04e5be58d828831b178f30,https://gitlab.freedesktop.org/poppler/poppler/-/blob/v24.02.0/poppler/PSOutputDev.cc,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog
libpoppler-dev,7aa99cf8fe6693e6a7a52adc09fcae613cd04e0d,24.02.0-1ubuntu9,26.01.0-2build2,24.02.0-1ubuntu9.8,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Easy,Trigger_Gap,[],https://gitlab.freedesktop.org/poppler/poppler/-/commit/7aa99cf8fe6693e6a7a52adc09fcae613cd04e0d,https://gitlab.freedesktop.org/poppler/poppler/-/tree/poppler-24.02.0,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog,https://launchpad.net/ubuntu/+source/poppler/+changelog,,,https://gitlab.freedesktop.org/poppler/poppler/-/issues/?search=Don't,https://gitlab.freedesktop.org/poppler/poppler/-/commit/7aa99cf8fe6693e6a7a52adc09fcae613cd04e0d,https://gitlab.freedesktop.org/poppler/poppler/-/blob/v24.02.0/poppler/StructElement.cc,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog
libpoppler-dev,211c5663b6aa02ad0d40f2baad3e3096b8dec875,24.02.0-1ubuntu9,26.01.0-2build2,24.02.0-1ubuntu9.8,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,[],https://gitlab.freedesktop.org/poppler/poppler/-/commit/211c5663b6aa02ad0d40f2baad3e3096b8dec875,https://gitlab.freedesktop.org/poppler/poppler/-/tree/poppler-24.02.0,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog,https://launchpad.net/ubuntu/+source/poppler/+changelog,,,https://gitlab.freedesktop.org/poppler/poppler/-/issues/?search=important,https://gitlab.freedesktop.org/poppler/poppler/-/commit/211c5663b6aa02ad0d40f2baad3e3096b8dec875,https://gitlab.freedesktop.org/poppler/poppler/-/blob/v24.02.0/goo/GooString.cc,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog
libpoppler-dev,ca1e7c8103b805f32a2db1a378c55fbd9b6afb85,24.02.0-1ubuntu9,26.01.0-2build2,24.02.0-1ubuntu9.8,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.freedesktop.org/poppler/poppler/-/commit/ca1e7c8103b805f32a2db1a378c55fbd9b6afb85,https://gitlab.freedesktop.org/poppler/poppler/-/tree/poppler-24.02.0,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog,https://launchpad.net/ubuntu/+source/poppler/+changelog,,,https://gitlab.freedesktop.org/poppler/poppler/-/issues/?search=JBIG2Stream::readTextRegion,https://gitlab.freedesktop.org/poppler/poppler/-/commit/ca1e7c8103b805f32a2db1a378c55fbd9b6afb85,https://gitlab.freedesktop.org/poppler/poppler/-/blob/v24.02.0/poppler/JBIG2Stream.cc,https://changelogs.ubuntu.com/changelogs/pool/main/p/poppler/poppler_24.02.0-1ubuntu9.8/changelog
libxml2,4982ee83f91ed598de793b280c8990646726c440,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/4982ee83f91ed598de793b280c8990646726c440,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=catalog,https://gitlab.gnome.org/GNOME/libxml2/-/commit/4982ee83f91ed598de793b280c8990646726c440,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/catalog.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.gnome.org/GNOME/libxml2/-/commit/f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=signed,https://gitlab.gnome.org/GNOME/libxml2/-/commit/f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/uri.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,df2ba65f661addfba50bdb7f280d594781249dfc,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/df2ba65f661addfba50bdb7f280d594781249dfc,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=duplicating,https://gitlab.gnome.org/GNOME/libxml2/-/commit/df2ba65f661addfba50bdb7f280d594781249dfc,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/relaxng.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,66c52b3ac6c32ab112ec2a3bf41e6c30948be113,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Moderate,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/66c52b3ac6c32ab112ec2a3bf41e6c30948be113,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=RelaxNG,https://gitlab.gnome.org/GNOME/libxml2/-/commit/66c52b3ac6c32ab112ec2a3bf41e6c30948be113,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/include/libxml/relaxng.h,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,c2d310649edd05260e38a636d4aa9346c04ffc30,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.gnome.org/GNOME/libxml2/-/commit/c2d310649edd05260e38a636d4aa9346c04ffc30,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=writer,https://gitlab.gnome.org/GNOME/libxml2/-/commit/c2d310649edd05260e38a636d4aa9346c04ffc30,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/xmlwriter.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,4982ee83f91ed598de793b280c8990646726c440,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/4982ee83f91ed598de793b280c8990646726c440,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=catalog,https://gitlab.gnome.org/GNOME/libxml2/-/commit/4982ee83f91ed598de793b280c8990646726c440,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/catalog.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.gnome.org/GNOME/libxml2/-/commit/f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=signed,https://gitlab.gnome.org/GNOME/libxml2/-/commit/f0e757a2a4e9e4da6ad522d7a389b7a06db8e9d0,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/uri.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,df2ba65f661addfba50bdb7f280d594781249dfc,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/df2ba65f661addfba50bdb7f280d594781249dfc,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=duplicating,https://gitlab.gnome.org/GNOME/libxml2/-/commit/df2ba65f661addfba50bdb7f280d594781249dfc,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/relaxng.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,66c52b3ac6c32ab112ec2a3bf41e6c30948be113,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Moderate,Trigger_Gap,[],https://gitlab.gnome.org/GNOME/libxml2/-/commit/66c52b3ac6c32ab112ec2a3bf41e6c30948be113,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=RelaxNG,https://gitlab.gnome.org/GNOME/libxml2/-/commit/66c52b3ac6c32ab112ec2a3bf41e6c30948be113,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/include/libxml/relaxng.h,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
libxml2,c2d310649edd05260e38a636d4aa9346c04ffc30,2.9.14+dfsg-1.3ubuntu3,2.15.2+dfsg-0.1,2.9.14+dfsg-1.3ubuntu3.7,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,MEDIUM,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://gitlab.gnome.org/GNOME/libxml2/-/commit/c2d310649edd05260e38a636d4aa9346c04ffc30,https://gitlab.gnome.org/GNOME/libxml2/-/tree/v2.9.14,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog,https://launchpad.net/ubuntu/+source/libxml2/+changelog,,,https://gitlab.gnome.org/GNOME/libxml2/-/issues/?search=writer,https://gitlab.gnome.org/GNOME/libxml2/-/commit/c2d310649edd05260e38a636d4aa9346c04ffc30,https://gitlab.gnome.org/GNOME/libxml2/-/blob/v2.9.14/xmlwriter.c,https://changelogs.ubuntu.com/changelogs/pool/main/libx/libxml2/libxml2_2.9.14+dfsg-1.3ubuntu3.7/changelog
